subject,category,caption1_condition,caption2_condition,selected_question,selected_question_type
1,train,spk-neg,evi-neu,Is there a train in the early morning?,PPQ
1,dog,spk-neu,evi-pos,Do you have a dog?,PPQ
1,korean,spk-pos,evi-neg,Do you not speak Korean?,LNQ
1,beer,spk-neu,evi-neg,Do you not like beer?,LNQ
1,library,spk-pos,evi-neu,Isn't there a library nearby?,HNQ
1,bike,spk-neu,evi-neu,Do you have a bike?,PPQ
1,rain,spk-neg,evi-pos,Really? Is it raining?,ReallyPQ
2,library,spk-neg,evi-neu,"could you please tell me is there a library in this city or in case you don't know, the city website?",Other
2,rain,spk-neg,evi-pos,Really? Is it raining?,ReallyPQ
2,korean,spk-neu,evi-pos,Really? Do you speak Korean?,ReallyPQ
2,beer,spk-pos,evi-neu,Don't you like beer?,HNQ
2,train,spk-neu,evi-neg,Is there no train in the early morning?,LNQ
2,dog,spk-neu,evi-neu,Don't you have a dog?,HNQ
2,bike,spk-pos,evi-neg,I thought you said you have been biking lately?,Other
3,rain,spk-neu,evi-pos,Really? Is it raining?,ReallyPQ
3,dog,spk-pos,evi-neg,Don't you have a dog?,HNQ
3,korean,spk-neu,evi-neu,Do you speak Korean?,PPQ
3,train,spk-pos,evi-neu,Is there a train in the early morning?,PPQ
3,bike,spk-neu,evi-neg,Do you not have a bike?,LNQ
3,beer,spk-neg,evi-neu,Do you not like beer?,LNQ
3,library,spk-neg,evi-pos,Is there no library nearby?,LNQ
4,beer,spk-neu,evi-pos,Do you like beer?,PPQ
4,korean,spk-pos,evi-neg,Don't you speak Korean?,HNQ
4,library,spk-neu,evi-neu,Is there a library nearby?,PPQ
4,bike,spk-neg,evi-neu,Do you have a bike?,PPQ
4,rain,spk-neg,evi-pos,Really? Is it raining?,ReallyPQ
4,dog,spk-pos,evi-neu,Don't you have a dog?,HNQ
4,train,spk-neu,evi-neg,Is there no train in the early morning?,LNQ
5,bike,spk-neg,evi-pos,Do you have a bike?,PPQ
5,library,spk-neu,evi-pos,Is there a library nearby?,PPQ
5,rain,spk-neu,evi-neu,Is it raining?,PPQ
5,beer,spk-neu,evi-neg,Do you not like beer?,LNQ
5,dog,spk-pos,evi-neg,Don't you have a dog?,HNQ
5,train,spk-pos,evi-neu,Is there a train in the early morning?,PPQ
5,korean,spk-neg,evi-neu,Do you speak Korean?,PPQ
6,library,spk-pos,evi-neg,Is there a library nearby?,PPQ
6,train,spk-neu,evi-neg,Is there no train in the early morning?,LNQ
6,bike,spk-pos,evi-neu,Don't you have a bike?,HNQ
6,rain,spk-neg,evi-pos,Really? Is it raining?,ReallyPQ
6,beer,spk-neu,evi-pos,Do you like beer?,PPQ
6,korean,spk-neg,evi-neu,Don't you speak Korean?,HNQ
6,dog,spk-neu,evi-neu,Don't you have a dog?,HNQ
7,rain,spk-neg,evi-neu,Is it raining?,PPQ
7,library,spk-neu,evi-neg,Is there no library nearby?,LNQ
7,train,spk-neu,evi-neu,Is there a train in the early morning?,PPQ
7,korean,spk-pos,evi-neg,Why did you not learn Korean from your grandparents?,Other
7,bike,spk-neg,evi-pos,Do you have a bike?,PPQ
7,dog,spk-neu,evi-pos,Do you have a dog?,PPQ
7,beer,spk-pos,evi-neu,Don't you like beer?,HNQ
8,dog,spk-neu,evi-neu,Do you have a dog?,PPQ
8,library,spk-neg,evi-neu,Is there a library nearby?,PPQ
8,bike,spk-pos,evi-neg,Don't you have a bike?,HNQ
8,train,spk-neu,evi-pos,Is there a train in the early morning?,PPQ
8,korean,spk-neu,evi-neg,Really? Do you speak Korean?,ReallyPQ
8,rain,spk-pos,evi-neu,Isn't it raining?,HNQ
8,beer,spk-neg,evi-pos,Really? Do you like beer?,ReallyPQ
9,dog,spk-neu,evi-neg,Do you not have a dog?,LNQ
9,bike,spk-pos,evi-neg,I thought you said you ride your bike on Sundays?,Other
9,library,spk-neg,evi-pos,Isn't there a library nearby?,HNQ
9,rain,spk-neu,evi-pos,Really? Is it raining?,ReallyPQ
9,train,spk-neu,evi-neu,Is there a train in the early morning?,PPQ
9,beer,spk-pos,evi-neu,Really? Do you like beer?,ReallyPQ
9,korean,spk-neg,evi-neu,Don't you speak Korean?,HNQ
10,rain,spk-neg,evi-neu,So it isn't raining then?,Other
10,library,spk-neu,evi-neu,Can you give me the website?,Other
10,train,spk-neu,evi-neg,Is there no train in the early morning?,LNQ
10,korean,spk-neg,evi-pos,I thought you couldn't speak Korean?,Other
10,bike,spk-pos,evi-neu,Don't you have a bike?,HNQ
10,beer,spk-neu,evi-pos,Do you like beer?,PPQ
10,dog,spk-pos,evi-neg,Really? Do you have a dog?,ReallyPQ
11,dog,spk-neg,evi-neu,Did you get a dog?,Other
11,bike,spk-neu,evi-neu,Have you found your bike yet?,Other
11,beer,spk-neu,evi-neg,Do you want to check the beer aisle?,Other
11,train,spk-pos,evi-neu,Is there a train before 7 am?,Other
11,rain,spk-neg,evi-pos,Do I need an umbrella?,Other
11,library,spk-pos,evi-neg,Isn't there a library nearby?,HNQ
11,korean,spk-neu,evi-pos,Did you take Korean lessons?,Other
12,rain,spk-neu,evi-neg,Is it raining?,PPQ
12,train,spk-neu,evi-pos,Is there a train in the early morning?,PPQ
12,library,spk-neg,evi-neu,Is there a library nearby?,PPQ
12,beer,spk-pos,evi-neu,Do you like beer?,PPQ
12,dog,spk-pos,evi-neg,Do you have a dog?,PPQ
12,korean,spk-neg,evi-pos,Do you speak Korean?,PPQ
12,bike,spk-neu,evi-neu,Do you have a bike?,PPQ
13,train,spk-pos,evi-neg,Is there a train in the early morning?,PPQ
13,rain,spk-neu,evi-neu,Really? Is it raining?,ReallyPQ
13,dog,spk-neu,evi-pos,Do you have a dog?,PPQ
13,beer,spk-neg,evi-pos,Really? Do you like beer?,ReallyPQ
13,bike,spk-pos,evi-neu,Do you have a bike?,PPQ
13,library,spk-neg,evi-neu,Isn't there a library nearby?,HNQ
13,korean,spk-neu,evi-neg,Do you speak Korean?,PPQ
14,library,spk-neg,evi-pos,Is there a library nearby?,PPQ
14,bike,spk-pos,evi-neg,Do you have a bike?,PPQ
14,dog,spk-neu,evi-pos,Do you have a dog?,PPQ
14,train,spk-neu,evi-neu,Is there a train in the early morning?,PPQ
14,rain,spk-neg,evi-neu,Is it raining?,PPQ
14,korean,spk-neu,evi-neg,Do you speak Korean?,PPQ
14,beer,spk-pos,evi-neu,Do you like beer?,PPQ
15,bike,spk-neu,evi-neg,Are you storing your bike someplace else?,Other
15,train,spk-neg,evi-pos,Really? Is there a train in the early morning?,ReallyPQ
15,korean,spk-pos,evi-neu,What did they say to you?,Other
15,rain,spk-pos,evi-neg,Do you know if it's supposed to rain later?,Other
15,dog,spk-neu,evi-neu,Does your landlord allow pets?,Other
15,library,spk-neg,evi-neu,Can you please tell me the website for the city?,Other
15,beer,spk-neu,evi-pos,Do you prefer a light or a dark IPA?,Other
16,train,spk-pos,evi-neg,Really? Is there a train in the early morning?,ReallyPQ
